wylie,base term,sanskrit,wikipedia,translations,comment
bag med,,pramada,,беспечность,
bar do,,антарабхава,,бардо,"буквально: ""промежуток"", обычно имеется в виду период между смертью и новым рождением"
bar do ba,,-,,существо бардо,
bdag med,,анатма,,бессамостность,
bdag nyid,,атман,https://ru.wikipedia.org/wiki/Атман,самость; я,
bde [ba],,sukha,-,блаженство,
blo,,-,-,рассудок,
brtson ‘grus,,вирья,,усердие,
bsgom pa,,бхавана,,созерцание,также sgom
byang [chub] sems [dpa’],,бодхисаттва,,"тот, кто из сострадания ко всем существам, устремился стать Буддой для того, чтобы спасти их и соблюдает обеты б.;  сыны Победителей ",[rgyal ba’i] sras
chos,,"дхамма, дхарма",https://ru.wikipedia.org/wiki/Дхарма,Учение ,
*,,,,"дхарма, явление","т.е. дхарма как явление, элемент бытия"
chos nyid,,,-,сущность,"синонимы: ji lta ba; ngo bo, rigs. "
*,,дхармата,-,подлинная сущность;дхармата;абсолютная истина,синонимы: yang dag pa ji lta ba nyid
chos mngon,,abhidharm,https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%85%D0%B8%D0%B4%D1%85%D0%B0%D1%80%D0%BC%D0%B0,Абхидхарма,"раздел буддийского канона и постканонической литературы, излагающий учение о дхармах как явлениях, фактах, элементах бытия. В тибетском буддизме изучение Абхидхармы обычно опирается на трактаты Васубандху ""Сокровищница Абхидхармы""  и Асанги ""Антология Абхидхармы"""
dad pa,,sraddhà,,"вера, благоговение",Синоним: mos pa
de nyid,,tathatà,https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BA%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D1%8C,реальность,Синоним: de kho na [nyid]
dge ba,,"subha, kusala, bhadra",-,"благо, добро",синоним - phan yon
dran pa,,,,внимательность; памятование; память,
gang zag,,,,индивид; индивидуальность; личность,
gnyis [su] med [pa],,,,,
gti mug,,моха,-,заблуждение,
klu,,нага,,духи вод,
kun slong,,,,мотивация; намерение,
las,,karma,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%BC%D0%B0,"действие, карма",
lta ba,,,,,
ma rig pa,,авидья,https://ru.wikipedia.org/wiki/Авидья,неведение,
mi rtag pa,,,,непостоянство,
mngon sum ,,pratyakùa,,прямое или непосредственное восприятие,
mngon sum gyis shes pa,,,,,
nga rgyal,,мана,,гордость; гордыня,
phyag rgya,,мудра,,мудра,
rang sangs rgyas,,пратьекабудда,,лично-пробужденный; Будда-для-себя,
rdo rje,,ваджра,,ваджра,"Важнейший ритуальный предмет тантрийского буддизма, обычно используемый в паре с колокольчиком. Ваджра обладает сложным символизмом, в частности указывает на метод постижения пустоты"
rig pa,,видья ,-,наука,
*,,,,"осознание, осознавание",
rten [cing] 'brel [bar 'byung ba],,,,зависимое происхождение,
sems,,читта,,"психика, ум",
*,,"читта, samtàna jãva",,"душа, дух","Синонимы: sems rgyud; srog . Используя слово ""душа"" для перевода этого термина, мы не подразумевали христианский или индуистский образ постоянной души. Душа здесь синоним более строгого термина ""психика"""
sdig pa,,,,проступок,синоним: mi dge ba
sgrib pa,,аварана,,скверны,синоним:dri ma
smon lam,,,,монлам; моление; пожелание,
snang,,,,кажущееся; кажимость,
sred pa,,,,жажда,
spyod pa,,,,поведение,
*,,siksà,,практика,Синонимы: sgrub pa; bslab pa; nyams len;
*,,karma,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%BC%D0%B0,"действие, карма, деяния",Синонимы:las; byed las
thar pa,,,,Свобода; Освобождение,
ye shes,,джняна,https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%BD%D0%B0%D0%BD%D0%B0,глубокое осознавание,
yon tan,,guna,https://ru.wikipedia.org/wiki/%D0%93%D1%83%D0%BD%D0%B0,"достоинство, благое качество",
zhe sdang,,dvesa,,ненависть; неприязнь; нетерпимость,
zhi ba,,,,Покой; хинаянская нирвана: искоренение омрачений,
‘byor ba,,,,блага,
‘khor ba,,samsàra,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D1%81%D0%B0%D1%80%D0%B0,"сансара, круговерть",
‘phags pa,,арья,https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%8C%D1%8F_(%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D1%8F),святой; арья,
