wylie,base term,sanskrit,wikipedia,translations,comment
bag med,,pramada,,беспечность,
bar do,,антарабхава,,бардо,"буквально: ""промежуток"", обычно имеется в виду период между смертью и новым рождением"
bar do ba,,,,существо бардо,
bdag med,,анатма,,бессамостность,
bdag nyid,,атман,https://ru.wikipedia.org/wiki/Атман,самость; я,
bde [ba],,sukha,,блаженство,
blo,,,,,
brtson ‘grus,,вирья,,усердие,
bsgom pa,,бхавана,,,
byang [chub] sems [dpa’],,бодхисаттва,,,
chos,,"дхамма, дхарма",https://ru.wikipedia.org/wiki/Дхарма,,
*,,,,,
chos nyid,,дхармата,,,
chos mngon,,,,,
dad pa,,,,,
de nyid,,таттва,,,
dge ba,,,,,
dran pa,,,,внимательность; памятование; память,
gang zag,,,,индивид; индивидуальность; личность,
gnyis [su] med [pa],,,,,
gti mug,,моха,,заблуждение,
klu,,нага,,духи вод,
kun slong,,,,мотивация; намерение,
las,,карма,,,
lta ba,,,,,
ma rig pa,,авидья,https://ru.wikipedia.org/wiki/Авидья,неведение,
mi rtag pa,,,,непостоянство,
mngon sum ,,,,,
mngon sum gyis shes pa,,,,,
nga rgyal,,мана,,гордость; гордыня,
phyag rgya,,мудра,,мудра,
rang sangs rgyas,,пратьекабудда,,лично-пробужденный; Будда-для-себя,
rdo rje,,ваджра,,ваджра,"Важнейший ритуальный предмет тантрийского буддизма, обычно используемый в паре с колокольчиком. Ваджра обладает сложным символизмом, в частности указывает на метод постижения пустоты"
rig pa,,,,наука,
rten [cing] 'brel [bar 'byung ba],,,,,
sems,,,,,
sdig pa,,,,,
sgrib pa,,аварана,,,
smon lam,,,,монлам; моление; пожелание,
snang,,,,кажущееся; кажимость,
sred pa,,,,,
spyod pa,,,,,
*,,,,,
thar pa,,,,Свобода; Освобождение,
ye shes,,джняна,,,
yon tan,,,,,
zhe sdang,,,,ненависть; неприязнь; нетерпимость,
zhi ba,,,,Покой; хинаянская нирвана: искоренение омрачений,
‘byor ba,,,,блага,
‘khor ba,,"сансара, самсара",,,
‘phags pa,,,,святой; арья,
