wylie,translations,comment
bag chags,склонность,
bag la nyal ,,
bag med,беспечность; неосмотрительность,
bar do,бардо,"буквально: ""промежуток"", обычно имеется в виду период между смертью и новым рождением"
bar do ba,существо бардо,
bdag,самость,
bdag dang bdag gir ‘dzin pa,,
bdag med,бессамостность,
bdag nyid,самость; я,
bdag tu ‘dzin pa,,
bde [ba],блаженство,
blo,рассудок,
brtags min gyi ‘gog pa,,
brtson ‘grus,"вирья, усердие",
bsgom pa,созерцание; освоение,
bsgrub pa ,,
bsod nams,заслуги,
byang [chub kyi] sems,бодхичитта,
byang [chub] sems [dpa‘],бодхисаттва; сын Победителей ,"тот, кто из сострадания ко всем существам, устремился стать Буддой для того, чтобы спасти их и соблюдает обеты бодхисаттвы"
byang chub,Пробуждение,
byis pa,"""дети""",
bzung ba,,
chad [pa‘i] lta [ba],терминализм,теория о конечности существования
chags pa,привязанность,
chos,"Учение, Дхарма + элемент, дхарма, явление",
chos [kyi] dbyings,дхармадхату,
chos mngon,Абхидхарма,"раздел буддийского канона и постканонической литературы, излагающий учение о дхармах как явлениях, фактах, элементах бытия. В тибетском буддизме изучение Абхидхармы обычно опирается на трактаты Васубандху ""Сокровищница Абхидхармы""  и Асанги ""Антология Абхидхармы"""
chos nyid,сущность; подлинная сущность; дхармата; абсолютная истина; природа,
dad pa,"вера, благоговение",
dag pa,чистота,
dben pa,отрешенность,
dbu ma pa,мадхьямака; мадхьямик (последователь мадхьямаки),
de bzhin gshegs pa,Татхагата,"""Так-пришедший"" - эпитет Будды"
de kho na [nyid],реальность,
de nyid,реальность,
dge ba,благо; добро; добродетель,
dge ba‘i bshes gnyen,благой друг,
dgra bcom pa,архат,святой полностью победивший свои омрачения
dmigs pa,восприятие; объект,
dngos po ,вещь; предмет,
dran pa,внимательность; памятование; память,
gang zag,индивид; индивидуальность; личность,
gnas lugs,,
gnyis [su] med [pa],недвойственность,
gsal ba,ясность; отчетливость,
gti mug,заблуждение,
gtso bo,Природа,(санскр. prakrti)
gzhan dbang,зависимое,
gzugs,физическое; форма; изображение,
ji snyed pa,явление,
khams,дхату; сфера; элемент,
khro ba,,
klu,"нага, духи вод",
kun rdzob pa‘i bden pa,,
kun slong,мотивация; намерение,
las,"действие, карма, деяние; кармический",
log rtog,,
lta ba,рассмотрение + теория + воззрение,
ma rig pa,неведение,
med pa,небытие,
mi dge ba ,проступок,
mi rigs,,
mi rtag pa,непостоянство,
mi ‘thse ba,,
mngon par zhen pa,влечение,
mngon rtog ,,
mngon sum ,прямое восприятие; непосредственное восприятие,
mngon sum gyis shes pa,прямое постижение/познание,
mnyam [par] gzhag [pa],ровное сосредоточение,
mthar lta,,
mthar ‘dzin pa,,
mtshan gzhi,,
mtshan nyid,природа,
myang ‘das,,
myong ba,опыт,
nga rgyal,гордость; гордыня,
ngar ‘dzin ,,
nges ‘byung,отречение,
ngo bo ,сущность,
nyan thos [rnams],"шравака, слушатели",
nyon mongs,омрачение,
pha rol tu phyin pa,парамита,
phrin las,,
phung po,скандха; совокупность,
phyag rgya,мудра,
rang bzhin,природа; самобытие; самосущее,
rang gi mtshan nyid,,
rang rig,само-сознание,
rang sangs rgyas,лично-пробужденный; Будда-для-себя; пратьекабудда,
rdo rje,ваджра,"Важнейший ритуальный предмет тантрийского буддизма, обычно используемый в паре с колокольчиком. Ваджра обладает сложным символизмом, в частности указывает на метод постижения пустоты"
rdzas,"субстанция, субстанциональное",
reg pa,контакт,
rgyud,"личность; поток (сознания, психики) + тантра",
rig pa,осознание; осознавание + наука,
rjes su dran pa,,
rmongs pa,незнание; омраченность,
rnam par thar pa ,жизнь,
rnam shes,,
rtag lta ba,этернализм,
rten,жизнь; опора,
rten [cing] ‘brel [bar ‘byung ba],зависимое происхождение; обусловленное происхождение,
rtog pa,мысль,
sbyin pa ,,
sdig pa,проступок,
sdug bsngal,,
sems,психика; ум; душа; дух; мысль,"Используя слово ""душа"" для перевода этого термина, мы не подразумевали христианский или индуистский образ постоянной души. Душа здесь синоним более строгого термина ""психика"""
sems bskyed,бодхичитта; устремленность к Пробуждению,
sems nyid,,
sgrib pa,завеса; загрязнение; скверны; препятствия,
sgro ‘dogs pa,воображение; воображаемое,
sgyu ma,иллюзия,
shes pa,знание; осознание; осознавание; познание,
smon lam,монлам; моление; пожелание,"санскр. pranidhana относится только к ""пожелание"""
snang,кажущееся; кажимость,
snying brtse ,,
snying rje,сострадание; милосердие,
snying stobs,,
so sor brtags ‘gog,,
so sor rtog pa,,
so sor thar pa,пратимокша,
spros pa ,измышления,
spyod pa,поведение + практика + действие; карма; деяния + чарья,
sred pa,жажда,
srid pa,становление,
stong [pa] nyid,пустота,
thams cad mkhyen pa,всеведение,
thar pa,Свобода; Освобождение,
thug pa med pa,,
tshul khrims,нравственность,
ye shes,глубокое осознавание; прозрение; мудрость,
yon tan,"достоинство, благое качество",
yul,объект,
zhe sdang,ненависть; неприязнь; нетерпимость,
zhi ba,Покой; успокоение,хинаянская нирвана: искоренение омрачений
‘byor ba,блага,"субъективные - rang gi ‘byor ba, объективные - gzhan gyi ‘byor ba"
‘dod chags,страсть; [страстная] привязанность,
‘dod pa,желание; стремление,
‘du shes,восприятие; мысль; осознание; осознавание; помысел; помышление; представление; установка,
‘dus byas,,
‘dzin pa,цепляние,
‘gro ba,удел; участь,
‘jig rten,,
‘jug pa‘i sems,,
‘khor ba,сансара; круговерть,
‘phags pa,святой; арья,
