wylie,translations,comment
bag chags,отпечаток; след; привычка; наклонность; семя,
bag la nyal ba,потенциальное,
bag med,,
bar do,,
bar do ba,,
bdag,,
bdag dang bdag gir ‘dzin pa,,
bdag med,отсутствие Я; не-Я,
bdag nyid,Я; сущность,
bdag tu ‘dzin pa,,
bde [ba],блаженство; наслаждение,
blo,,
brtags min gyi ‘gog pa,,
brtson ‘grus,усердие; старание; настойчивость,
bsgom pa,,
bsgrub pa,,
bsod nams,заслуги,положительная карма
byang [chub kyi] sems,мысль о Просветлении,
byang [chub] sems [dpa‘],бодхисаттва,
byang chub,Просветление,
byis pa,ребенок; наивный; простак; простофиля,
bzung ba,,
chad [pa‘i] lta [ba],,
chags pa,желающий; желание; влечение; симпатия; привязанность; пристрастность; проявленность,
chos,Учение; элемент; закон; справедливость; предмет мысли; качество,
chos [kyi] dbyings,,
chos mngon,Абхидхарма,название одной из трех питак – разделов Писания
chos nyid,истинная природа,(сущего)
dad pa,вера,
dag pa,чистое; корректное; совершенное,
dben pa,уединение,
dbu ma pa,,
de bzhin gshegs pa,,
de kho na [nyid],,
de nyid,,
dge ba,благо; добро; благое; хорошее,
dge ba‘i bshes gnyen,,
dgra bcom pa,архат,достигший хинаянской нирваны
dmigs pa,представление; восприятие; объект,
dngos po ,,
dran pa,память; памятование; воспоминание,
gang zag,индивид,
gnas lugs,принцип пребывания,
gnyis [su] med [pa],,
gsal ba,"прояснение; становление воспринимаемым + ясность (признак сознания) + предикат в прасанге – «выведении» 
",
gti mug,невежество,"как один из трех ядов – страсть, гнев, невежество"
gtso bo,главное; принцип + Владыка (пракрити),
gzhan dbang,паратантра,"букв, «власть другого», это, возникающее в зависимости от причин и условий"
gzugs,цветоформа; материальное; физическое; чувственное,
ji snyed pa,«сколько»,"название того вида мудрости всеведения, который ведает абсолютным"
khams,,
khro ba,,
klu,,
kun rdzob pa‘i bden pa,,
kun slong,,
las,деяние + объект действия,
log rtog,,
lta ba,взгляд; воззрение; теория,
ma rig pa,неведение,
med pa,несуществующее; небытие; отсутствие,
mi dge ba ,неблагое,
mi rigs,,
mi rtag pa,непостоянное,
mi ‘thse ba,,
mngon par zhen pa,признание; приверженность,
mngon rtog ,,
mngon sum ,непосредственное (познание); очевидное; достоверное,
mngon sum gyis shes pa,,
mnyam [par] gzhag [pa],"состояние трансового погружения, при котором исчезает феноменальная явленность",
mthar lta,,
mthar ‘dzin pa,признание крайности,"(постоянства, прерывности и т. д.)"
mtshan gzhi,«основа признака»,"то, что кроме данного признака обладает и другими признаками"
mtshan nyid,,
myang ‘das,,
myong ba,«вкушение»; переживание; испытание,
nga rgyal,гордость,
ngar ‘dzin ,признание я,
nges ‘byung,,
ngo bo ,сущность,
nyan thos [rnams],,
nyon mongs,клеша,"буквально «мучитель», это фактор, вызывающий неуспокоенность потока сознания и служащий совместно с действующей (с деяниями) причиной получения рождения"
pha rol tu phyin pa,парамита; совершенное,
phrin las,,
phung po,,
phyag rgya,мудра; жест; символ; принцип,
rang bzhin,собственное бытие; природа,
rang gi mtshan nyid,собственный признак,
rang rig,,
rang sangs rgyas,пратьекабудда,
rdo rje,,
rdzas,,
reg pa,соприкосновение контакт,
rgyud,"поток (сознания, бытия) + поток (моментов дхармы)",
rig pa,ведение; ведание (признак ума),
rjes su dran pa,,
rmongs pa,,
rnam par thar pa ,,
rnam shes,сознание; эмпирическое познание (противопоставляемое мудрости),
rtag lta ba,,
rten,опора,
rten [cing] ‘brel [bar ‘byung ba],"зависимое возникновение, наличие; зависимое",
rtog pa,изучение,(как элемент созерцания)
sbyin pa ,"отдача, давание, дар",
sdig pa,грех,
sdug bsngal,страдание + истина страдания,
sems,сознание; ум; мысль; намерение,
sems bskyed,рождение мысли (о Просветлении),
sems nyid,,
sgrib pa,препятствие; покров,
sgro ‘dogs pa,,
sgyu ma,иллюзия,
shes pa,психическое; сознание; познание,
smon lam,пожелание,
snang,,
snying brtse ,,
snying rje,,
snying stobs,саттва (одна из трех гун) + мужество,
so sor brtags ‘gog,,
so sor rtog pa,,
so sor thar pa,индивидуальное спасение,
spros pa ,явленность,
spyod pa,,
sred pa,жажда,"(наслаждений и т. д., синоним клеши)"
srid pa,становление; бытие; мир; сансарное существование,
stong [pa] nyid,пустотность; лишенность,
thams cad mkhyen pa,всеведение,
thar pa,,
thug pa med pa,,
tshul khrims,нравственность,
ye shes,мудрость,
yon tan,качество; свойство; достоинство,
yul,объект,
zhe sdang,одна из шести или пяти основных клеш и один из трех ядов,
zhi ba,успокоенность; нирвана,
‘byor ba,,
‘dod chags,страсть; любовь; желание,
‘dod pa,признавать; считать; полагать,
‘du shes,различение; представление,
‘dus byas,,
‘dzin pa,,
‘gro ba,живое существо; сущее,
‘jig rten,мир,
‘jug pa‘i sems,,
‘khor ba,сансара; перерождение,
‘phags pa,святой,
