wylie,translations,comment
bag chags,,
bag la nyal ,,
bag med,,
bar do,,
bar do ba,,
bdag,,
bdag dang bdag gir ‘dzin pa,,
bdag med,,
bdag nyid,,
bdag tu ‘dzin pa,,
bde [ba],,
blo,,
brtags min gyi ‘gog pa,,
brtson ‘grus,,
bsgom pa,,
bsgrub pa ,,
bsod nams,заслуга,"положительный кармический потенциал, накопленный вследствие совершения благих деяний тела, речи и ума"
byang [chub kyi] sems,бодхичитта,"согласно Гамбопе, высшая бодхичитта, Пустота, неотделима от сострадания — сияющая, неколебимая и невыразимая мыслью; относительная бодхичитта — устремление к Пробуждению. См. «Украшение Освобождения»"
byang [chub] sems [dpa‘],,
byang chub,пробуждение,высшая цель буддийской практики: освобождение от оков самсары и достижение состояния всеведения
byis pa,,
bzung ba,,
chad [pa‘i] lta [ba],,
chags pa,,
chos,"Учение буддизма, Дхарма",
chos [kyi] dbyings,Высшая Реальность,
chos mngon,,
chos nyid,дхармата; Высшая Реальность,"сущность реальности, совершенно чистая природа всех вещей"
dad pa,вера,"Гамбопа говорит о трех типах веры («Украшение Освобождения», конец гл. 2), Цонкапа о четырех («Лам-рим», т. 1, с. 358)"
dag pa,,
dben pa,,
dbu ma pa,,
de bzhin gshegs pa,,
de kho na [nyid],,
de nyid,,
dge ba,,
dge ba‘i bshes gnyen,,
dgra bcom pa,,
dmigs pa,,
dngos po ,,
dran pa,памятование,"непрерывное удержание в памяти, осознавание, внимательность. Это один из пяти определяющих ментальных факторов, предотвращающих «забвение» объекта медитации (см. Бдительность, Самоконтроль)"
gang zag,,
gnas lugs,,
gnyis [su] med [pa],,
gsal ba,,
gti mug,,
gtso bo,,
gzhan dbang,,
gzugs,,
ji snyed pa,,
khams,,
khro ba,,
klu,,
kun rdzob pa‘i bden pa,,
kun slong,,
las,карма; действие; обязанность; деятельность,"закон причины и следствия, согласно которому мы переживаем мир в соответствии с впечатлениями, закладываемыми нами в ум телесно, вербально и умственно"
log rtog,,
lta ba,,
ma rig pa,,
med pa,,
mi dge ba ,,
mi rigs,,
mi rtag pa,,
mi ‘thse ba,,
mngon par zhen pa,,
mngon rtog ,,
mngon sum ,,
mngon sum gyis shes pa,,
mnyam [par] gzhag [pa],,
mthar lta,,
mthar ‘dzin pa,,
mtshan gzhi,,
mtshan nyid,,
myang ‘das,,
myong ba,,
nga rgyal,,
ngar ‘dzin ,,
nges ‘byung,отречение,установка на окончательное освобождение от самсары
ngo bo ,,
nyan thos rnams,,
nyon mongs,клеши,"«недуги», «мучения», «загрязнения», «скверны», «яды», «отравы», «аффекты» и т.д. Заблуждения и неадекватные реакции, препятствующие постижению истины и вызывающие страдание. Основные клеши: неведение, страсть-привязанность, ненависть, а также гордость и зависть"
pha rol tu phyin pa,парамиты,"(букв.: «то, что ведёт к другому берегу») — аспекты практики бодхисаттвы: даяние (с.: дана), нравственность (с.: шила), терпение (с.: кшанти), усердие (с.: вирья), медитация (с.: дхьяна) и мудрость (с.: праджня). Они суть средство пресечения самсары и достижения Пробуждения."
phrin las,,
phung po,,
phyag rgya,,
rang bzhin,самобытие,глубоко укоренившаяся иллюзия неизменной самосущности всех вещей
rang gi mtshan nyid,,
rang rig,,
rang sangs rgyas,,
rdo rje,,
rdzas,,
reg pa,,
rgyud,,
rig pa,,
rjes su dran pa,,
rmongs pa,,
rnam par thar pa ,,
rnam shes,сознание; ум,
rtag lta ba,,
rten,,
rten [cing] ‘brel [bar ‘byung ba],,
rtog pa,,
sbyin pa ,,
sdig pa,,
sdug bsngal,страдание,"атрибут относительного, обусловленного («составного») бытия, т.е. самсары, принципиальное несовершенство, ограниченность, неудовлетворительность жизни живых существ"
sems,сознание; ум,"Термином «ум» или «сознание» (в качестве синонимов) обозначается фактически вся совокупность психики, психических проявлений. Живое существо — это единство тела и психики (т.: семс.чан). Динамическая природа психики выражается термином ргйуд, ранг.ргйуд или ргйун (с.: сантана),т.е. «поток», «континуум», «поток сознания» (точнее, «поток бытия, пяти скандх»)"
sems bskyed,,
sems nyid,,
sgrib pa,,
sgro ‘dogs pa,,
sgyu ma,,
shes pa,,
smon lam,,
snang,,
snying brtse ,,
snying rje,сострадание,"это процесс перерождений, старение, болезни, умирание, недовольство тем, что есть, недостижение желаемого и т.д. Коренная причина страдания — клеши (неведение, страсть, ненависть). Ключевой принцип махаяны, выражающий мотивацию бодхисаттвы. См. Четыре Безмерных"
snying stobs,,
so sor brtags ‘gog,,
so sor rtog pa,,
so sor thar pa,,
spros pa ,,
spyod pa,,
sred pa,,
srid pa,,
stong [pa] nyid,Пустота; Шуньята,"истинная природа явлений (как внешних, так и внутренних), реальный способ существования вещей: отсутствие внутреннеприсущей постоянной реальности, обусловленность, относительность всех явлений. Насчитывается до двадцати видов Пустоты (см.: Андросов, «Буддизм Нагарджуны», с. 505-513)"
thams cad mkhyen pa,,
thar pa,освобождение,"освобождение от самсары, от неотъемлемо присущего ей страдания, обусловленного кармой и клешами"
thug pa med pa,,
tshul khrims,,
ye shes,,
yon tan,,
yul,,
zhe sdang,,
zhi ba,,
‘byor ba,,
‘dod chags,,
‘dod pa,,
‘du shes,,
‘dus byas,,
‘dzin pa,,
‘gro ba,,
‘jig rten,,
‘jug pa‘i sems,,
‘khor ba,Самсара,"цикл рождений и смертей, характеристикой которого является страдание, а коренной причиной — неведение (с.: авидья). Схему самсары см.: «Лам-рим» Цонкапы т. I, с.366 — 368."
‘phags pa,,
