wylie,translations,comment
‘dod chags,,
‘dod pa,,
‘du shes,,
‘dus byas,,
‘dzin pa,,
‘gro ba,,
‘jug pa'i sems,,
bag chags,,
bag la nyal ,,
bdag,,
bdag dang bdag gir ‘dzin pa,,
bdag tu ‘dzin pa,,
brtags min gyi ‘gog pa,,
bsgrub pa ,,
bsod nams,заслуга,"положительный кармический потенциал, накопленный вследствие совершения благих деяний тела, речи и ума"
byang [chub kyi] sems,бодхичитта,"согласно Гамбопе, высшая бодхичитта, Пустота, неотделима от сострадания — сияющая, неколебимая и невыразимая мыслью; относительная бодхичитта — устремление к Пробуждению. См. «Украшение Освобождения»"
byang chub,пробуждение,высшая цель буддийской практики: освобождение от оков самсары и достижение состояния всеведения
byis pa rnams,,
bzung ba,,
chad [pa'i] lta [ba],,
chags pa,,
dag pa,,
dben pa,,
dbu ma pa,,
dbyings (chos-dbyings),,
de bzhin gshegs pa,,
de kho na [nyid],,
dge ba'i bshes gnyen,,
dgra bcom pa,,
dmigs pa,,
dngos po ,,
gnas lugs,,
gsal ba,,
gtso bo,,
gzhan dbang,,
gzugs,,
ji snyed pa,,
‘jig rten,,
khams,,
khro ba,,
kun rdzob pa'i bden pa,,
log rtog,,
med pa,,
mi ‘thse ba,,
mi dge ba ,,
mi rigs,,
mngon par zhen pa,,
mngon rtog ,,
mnyam [par] gzhag [pa],,
mthar ‘dzin pa,,
mthar lta,,
mtshan gzhi,,
mtshan nyid,,
myang ‘das,,
myong ba,,
nga rgyal,,
ngar ‘dzin ,,
nges ‘byung,отречение,установка на окончательное освобождение от самсары
ngo bo ,,
nyan thos rnams,,
nyon mongs,клеши,"«недуги», «мучения», «загрязнения», «скверны», «яды», «отравы», «аффекты» и т.д. Заблуждения и неадекватные реакции, препятствующие постижению истины и вызывающие страдание. Основные клеши: неведение, страсть-привязанность, ненависть, а также гордость и зависть"
pha rol tu phyin pa,парамиты,"(букв.: «то, что ведёт к другому берегу») — аспекты практики бодхисаттвы: даяние (с.: дана), нравственность (с.: шила), терпение (с.: кшанти), усердие (с.: вирья), медитация (с.: дхьяна) и мудрость (с.: праджня). Они суть средство пресечения самсары и достижения Пробуждения."
phung po,,
rang bzhin,самобытие,глубоко укоренившаяся иллюзия неизменной самосущности всех вещей
rang gi mtshan nyid,,
rang rig,,
rdzas,,
reg pa,,
rgyud,,
rjes su dran pa,,
rmongs pa,,
rnam par thar pa ,,
rnam shes,сознание; ум,
rtag lta ba,,
rten,,
rten [cing] ‘brel [bar ‘byung ba],,
rtog pa,,
sbyin pa ,,
sdug bsngal,страдание,"атрибут относительного, обусловленного («составного») бытия, т.е. самсары, принципиальное несовершенство, ограниченность, неудовлетворительность жизни живых существ"
sems bskyed,,
sems nyid,,
sgro ‘dogs pa,,
sgyu ma,,
shes pa,,
snying brtse ,,
snying rje,сострадание,"это процесс перерождений, старение, болезни, умирание, недовольство тем, что есть, недостижение желаемого и т.д. Коренная причина страдания — клеши (неведение, страсть, ненависть). Ключевой принцип махаяны, выражающий мотивацию бодхисаттвы. См. Четыре Безмерных"
snying stobs,,
so sor brtags ‘gog,,
so sor rtog pa,,
so sor thar pa,,
spros pa ,,
srid pa,,
stong [pa] nyid,Пустота; Шуньята,"истинная природа явлений (как внешних, так и внутренних), реальный способ существования вещей: отсутствие внутреннеприсущей постоянной реальности, обусловленность, относительность всех явлений. Насчитывается до двадцати видов Пустоты (см.: Андросов, «Буддизм Нагарджуны», с. 505-513)"
thams cad mkhyen pa,,
thug pa med pa,,
tshul khrims,,
yul,,
