wylie,translations,comment
‘byor ba,блага,"субъективные - rang gi ‘byor ba, объективные - gzhan gyi ‘byor ba"
‘khor ba,сансара; круговерть,
‘phags pa,святой; арья,
bag med,беспечность; неосмотрительность,
bar do,бардо,"буквально: ""промежуток"", обычно имеется в виду период между смертью и новым рождением"
bar do ba,существо бардо,
bdag med,бессамостность,
bdag nyid,самость; я,
bde [ba],блаженство,
blo,рассудок,
brtson ‘grus,"вирья, усердие",
bsgom pa,созерцание; освоение,
byang [chub] sems [dpa'],бодхисаттва; сын Победителей ,"тот, кто из сострадания ко всем существам, устремился стать Буддой для того, чтобы спасти их и соблюдает обеты б."
chos,"Учение, Дхарма",
*,"элемент, дхарма, явление",
chos nyid,подлинная сущность; дхармата; абсолютная истина,
*,природа ,
*,сущность,
chos mngon,Абхидхарма,"раздел буддийского канона и постканонической литературы, излагающий учение о дхармах как явлениях, фактах, элементах бытия. В тибетском буддизме изучение Абхидхармы обычно опирается на трактаты Васубандху ""Сокровищница Абхидхармы""  и Асанги ""Антология Абхидхармы"""
dad pa,"вера, благоговение",
de nyid,реальность,
dge ba,"благо, добро",
*,добродетель,
dran pa,внимательность; памятование; память,
gang zag,индивид; индивидуальность; личность,
gnyis [su] med [pa],недвойственность,
gti mug,заблуждение,
klu,"нага, духи вод",
kun slong,мотивация; намерение,
las,"действие, карма, деяние; кармический",
lta ba,рассмотрение,
*,теория,
*,воззрение,
ma rig pa,неведение,
mi rtag pa,непостоянство,
mngon sum ,прямое восприятие; непосредственное восприятие,
mngon sum gyis shes pa,прямое постижение/познание,
nga rgyal,гордость; гордыня,
phyag rgya,мудра,
rang sangs rgyas,лично-пробужденный; Будда-для-себя; пратьекабудда,
rdo rje,ваджра,"Важнейший ритуальный предмет тантрийского буддизма, обычно используемый в паре с колокольчиком. Ваджра обладает сложным символизмом, в частности указывает на метод постижения пустоты"
rig pa,наука,
*,"осознание, осознавание; ","cм. также сознательность, познание, прозрение"
rten [cing] ‘brel [bar ‘byung ba],зависимое происхождение,обусловленное происхождение
sems,психика,
*,ум,
*,"душа, дух","Используя слово ""душа"" для перевода этого термина, мы не подразумевали христианский или индуистский образ постоянной души. Душа здесь синоним более строгого термина ""психика"""
*,мысль,
sdig pa,проступок,
sgrib pa,"завеса, загрязнение",
*,скверны,
*,препятствия,
smon lam,монлам; моление; пожелание,"pranidhana относится только к ""пожелание"""
snang,кажущееся; кажимость,
sred pa,жажда,
spyod pa,поведение,
*,практика,
*,"действие, карма, деяния",
*,чарья,
thar pa,Свобода; Освобождение,
ye shes,глубокое осознавание; прозрение; мудрость,
yon tan,"достоинство, благое качество",
zhe sdang,ненависть; неприязнь; нетерпимость,
zhi ba,Покой; хинаянская нирвана: искоренение омрачений,
*,успокоение,
