wylie,translations,comment
‘byor ba,,
‘khor ba,круговорот; круговерть; сансара  ,
‘phags pa,,
bag med,беспечность,
bar do,,
bar do ba,,
bdag med,бессамостность,
bdag nyid,суть; сущность,
bde [ba],блаженство,
blo,интеллект,
brtson ‘grus,,
bsgom pa,медитация; медитативное освоение; созерцание,
byang [chub] sems [dpa'],Герой Пробуждения (бодхисаттва),
chos,Дхарма; Учение; духовное учение; духовность,
*,элементы бытия; феномены; явления,
chos nyid,подлинное-бытие,
,,
,,
chos mngon,теория элементов бытия (Абхидхарма),
dad pa,вера; устремление-вера,
de nyid,идентичность,
dge ba,добродетели,
,,
dran pa,,
gang zag,личность; индивид,
gnyis [su] med [pa],недвойственность; недуальность; недвойственное,
gti mug,заблуждение,
klu,,
kun slong,,
las,действенность действия; действие; действие-карма; карма,
lta ba,видение; воззрение ,
,,
,,
ma rig pa,неведение,
mi rtag pa,непостоянство,
mngon sum ,непосредственное; явное; очевидное,
mngon sum gyis shes pa,прямое постижение/познание,
nga rgyal,гордость,
phyag rgya,,
rang sangs rgyas,Индивидуально-Пробужденные (Пратьекабудды),
rdo rje,,
rig pa,ведать; ведение,
,,
rten [cing] ‘brel [bar ‘byung ba],зависимо-связанное возникновение; возникновение  в зависимости от опоры,
sems,дух; психика; сознание ,
,,
,,
,,
sdig pa,зло; недостойное; злодеяние; грех,
sgrib pa,препоны; препятствующие препоны ,
,,
,,
smon lam,молитва; благопожелание,
snang,проявляться; проявления,
sred pa,влечение;  вожделение,
spyod pa,деяния-практики [Героев Пробуждения],
*,деятельность; активность,
,,
,,
thar pa,Освобождение,
ye shes,исконное знание; исконнознание,
yon tan,свойства; достоинства,
zhe sdang,гнев,
zhi ba,Покой; Нирвана; умиротворение,
