wylie,translations,comment
bag chags,отпечатки ,
bag la nyal ,отпечатки дремлющие/подспудные ,
bag med,беспечность,
bar do,переход; переходное состояние,
bar do ba,существо перехода,
bdag,"Я, самость, сущность",
bdag dang bdag gir ‘dzin pa,схватывание  (в представлении)  «самости» и «своего»,
bdag med,бессамостность,
bdag nyid,суть; сущность,
bdag tu ‘dzin pa,"схватывание Я, самости ",
bde [ba],блаженство,
blo,интеллект,
brtags min gyi ‘gog pa,неаналитическое прекращение ,
brtson ‘grus,усердие,
bsgom pa,медитация; медитативное освоение; созерцание,
bsgrub pa ,"установление, устанавливать достоверно (существование в статусе субъективированного)",
bsod nams,благие заслуги,
byang [chub kyi] sems,бодхичитта,
byang [chub] sems [dpa‘],Герой Пробуждения (бодхисаттва),
byang chub,Пробуждение,
byis pa,люди-дети,
bzung ba,схватываемое ,
chad [pa‘i] lta [ba],"воззрение уничтожения, терминализм ",
chags pa,"тяготение, привязанность ",
chos,Дхарма; Учение; духовное учение; духовность + элементы бытия; феномены; явления,
chos mngon,теория элементов бытия (Абхидхарма),
chos nyid,подлинное-бытие,
dad pa,вера; устремление-вера,
dag pa,чистота,
dben pa,"изоляция, затворничество ",
dbu ma pa,философия срединности (Мадхъямака) ,
dbyings (chos-dbyings),,
de bzhin gshegs pa,Так-ушедший; В-таковости-ушедший,
de kho na [nyid],таковость,
de nyid,идентичность,
dge ba,добродетели,
dge ba‘i bshes gnyen,духовный друг ,
dgra bcom pa,Победитель [омрачений-]врагов;  Архат,
dmigs pa,объективироваться; являться  предметом  рассмотрения;  предметно усматриваться,
dngos po ,сущее; сущие-предметы;  реальность; вещи; реальное существование; предметы-реальность; реально-сущее,
dran pa,внимательность; памятование; осознанность,
gang zag,личность; индивид,
gnas lugs,природа вещей ,
gnyis [su] med [pa],недвойственность; недуальность; недвойственное,
gsal ba,,
gti mug,заблуждение,
gtso bo,"""Основа""",(санскр.: прадхана)
gzhan dbang,,
gzugs,форма; образ-форма; чувственное; материальное,
ji snyed pa,относительное ,
khams,элемент,
khro ba,гнев ,
klu,водяные,
kun rdzob pa‘i bden pa,относительная («скрывающая») истина ,
kun slong,мотивация; побуждение,
las,действенность действия; действие; действие-карма; карма,
log rtog,ложное  понимание ,
lta ba,видение; воззрение ,
ma rig pa,неведение,
med pa,небытие;  несуществование ,
mi dge ba ,неблагое; недобродетель,
mi rigs,нелогично; неправильно; неуместно ,
mi rtag pa,непостоянство,
mi ‘thse ba,ненасилие; непричинение вреда ,
mngon par zhen pa,"цепляться, явно/жадно цепляться  ",
mngon rtog ,непосредственное/прямое познание/постижение  ,
mngon sum ,непосредственное; явное; очевидное,
mngon sum gyis shes pa,прямое постижение/познание,
mnyam [par] gzhag [pa],медитативное погружение ,
mthar lta,крайние воззрения ,
mthar ‘dzin pa,крайние представления,
mtshan gzhi,основа характеристик ,
mtshan nyid,характеристика,
myang ‘das,уход-от-мук; Нирвана ,
myong ba,переживание; опыт-переживание ,
nga rgyal,"гордость; ""утверждение Я""",
ngar ‘dzin ,"схватывание ""себя"" ",
nges ‘byung,отрешение ,
ngo bo ,"сущность,  природа  ",
nyan thos [rnams],Слушатели,
nyon mongs,омрачения ,
pha rol tu phyin pa,запредельные [деяния],
phrin las,деятельность; активность,
phung po,[психо-физические] совокупности,
phyag rgya,печать;  запечатлеваяющий жест,
rang bzhin,самобытие; самосуть; самотождественность; по собственной природе,
rang gi mtshan nyid,собственные характеристики ,
rang rig,,
rang sangs rgyas,Индивидуально-Пробужденные (Пратьекабудды),
rdo rje,ваджр (молниевый сполох),
rdzas,вещество; материя ,
reg pa,осязаемость-контакт; осязаемость в контакте  ,
rgyud,поток сознания,
rig pa,ведать; ведение,
rjes su dran pa,памятование ,
rmongs pa,тупость ,
rnam par thar pa ,всеосвобождение; полное освобождение ,
rnam shes,перво-сознание; [воспринимающие] первосознания (санскр.: виджня),
rtag lta ba,воззрение постоянства (этернализм) ,
rten,"субстрат,  опора, условие,  субстрат-опора",
rten [cing] ‘brel [bar ‘byung ba],зависимо-связанное возникновение; возникновение  в зависимости от опоры,
rtog pa,"мысли, умопостроения, измышления, мыслепостроения ",
sbyin pa ,"даяние, дар, отдача, щедрость (санскр. дана)",
sdig pa,зло; недостойное; злодеяние; грех,
sdug bsngal,страдание ,
sems,дух; психика; сознание ,
sems bskyed,бодхичитта,
sems nyid,абсолютная природа ума,
sgrib pa,препоны; препятствующие препоны ,
sgro ‘dogs pa,"приписывание, проецирование, примысливание, ложное приписывание",
sgyu ma,майя,
shes pa,сознание/ познание ,
smon lam,молитва; благопожелание,
snang,проявляться; проявления,
snying brtse ,любовь-сострадание ,
snying rje,,
snying stobs,"саттва (чистота, мужество, сила духа) ",
so sor brtags ‘gog,аналитическое прекращение,
so sor rtog pa,индивидуализированное постижение ,
so sor thar pa,,
spros pa ,"распродуцирование, (умственное) распродуцирование",
spyod pa,деяния-практики [Героев Пробуждения] + деятельность; активность,
sred pa,влечение;  вожделение,
srid pa,"существование, сансара",
stong [pa] nyid,,
thams cad mkhyen pa,Всеведение ,
thar pa,Освобождение,
thug pa med pa,дурная бесконечность ,
tshul khrims,"нравственность,  нравственный закон ",
ye shes,исконное знание; исконнознание,
yon tan,свойства; достоинства,
yul,объект (восприятия) ,
zhe sdang,гнев,
zhi ba,Покой; Нирвана; умиротворение,
‘byor ba,подготовка; практика,
‘dod chags,страсть  ,
‘dod pa,желание,
‘du shes,распознание-различение ,
‘dus byas,составное-обусловленное; сложенное; производное; созданное ,
‘dzin pa,схватывание; представления-схватывания,
‘gro ba,движимое; живое; живые существа ,
‘jig rten,мир; мирское ,
‘jug pa‘i sems,деятельный дух  Пробуждения ,
‘khor ba,круговорот; круговерть; сансара  ,
‘phags pa,святой,
