wylie,base_term,sanskrit_rus,sanskrit_eng,wikipedia
‘dod chags,,,raga,
‘dod pa,,,kama,
‘du shes,,,samjna,
‘dus byas,,,samskrta,
‘dzin pa,,,graha,
‘gro ba,,,gati,
‘jug pa'i sems,,,,
bag chags,,,vasana,
bag la nyal ,,,anusaya,
bdag,,атман,atman,
bdag dang bdag gir ‘dzin pa,,,,
bdag tu ‘dzin pa,,,atma-graha,
brtags min gyi ‘gog pa,,,apratisamkhya-nirodha,
bsgrub pa ,,,,
bsod nams,,,,
byang [chub kyi] sems,,бодхичитта,,
byang chub,,,bodhi,
byis pa rnams,,,,
bzung ba,,,,
chad [pa'i] lta [ba],,,,
chags pa,,,,
dag pa,,,,
dben pa,,,,
dbu ma pa,,,,
dbyings (chos-dbyings),,дхармадхату,,
de bzhin gshegs pa,,Татхагата,,
de kho na [nyid],,,,
dge ba'i bshes gnyen,,,,
dgra bcom pa,,,,
dmigs pa,,,,
dngos po ,,,,
gnas lugs,,,,
gsal ba,,,,
gtso bo,,,,
gzhan dbang,,,,
gzugs,,,,
ji snyed pa,,,,
‘jig rten,,,,
khams,,дхату,,
khro ba,,,,
kun rdzob pa'i bden pa,,,,
log rtog,,,,
med pa,,,,
mi ‘thse ba,,,,
mi dge ba ,,,,
mi rigs,,,,
mngon par zhen pa,,,,
mngon rtog ,,,,
mnyam [par] gzhag [pa],,,,
mthar ‘dzin pa,,,,
mthar lta,,,,
mtshan gzhi,,,,
mtshan nyid,,,,
myang ‘das,,,,
myong ba,,,,
nga rgyal,,ахамкара,,
ngar ‘dzin ,,,,
nges ‘byung,,,,
ngo bo ,,,,
nyan thos rnams,,шравака,,
nyon mongs,,,,
pha rol tu phyin pa,,,,
phung po,,,,
rang bzhin,,свабхава,,
rang gi mtshan nyid,,,,
rang rig,,,,
rdzas,,,,
reg pa,,,,
rgyud,,,,
rjes su dran pa,,,,
rmongs pa,,,,
rnam par thar pa ,,,,
rnam shes,,виджняна,,
rtag lta ba,,,,
rten,,,,
rten [cing] ‘brel [bar ‘byung ba],,,,
rtog pa,,,,
sbyin pa ,,дана,,
sdug bsngal,,,,
sems bskyed,,,,
sems nyid,,,,
sgro ‘dogs pa,,,,
sgyu ma,,,,
shes pa,,,,
snying brtse ,,,,
snying rje,,каруна,karuna,
snying stobs,,,,
so sor brtags ‘gog,,,,
so sor rtog pa,,,,
so sor thar pa,,,,
spros pa ,,прапанча,prpanca,
srid pa,,,,
stong [pa] nyid,,шуньята,sunyata,
thams cad mkhyen pa,,,"sarvajna, sarvajnata",
thug pa med pa,,,,
tshul khrims,,,sila,
yul,,,,
