wylie,translations,comment
‘byor ba,,
‘khor ba,Самсара,"цикл рождений и смертей, характеристикой которого является страдание, а коренной причиной — неведение (с.: авидья). Схему самсары см.: «Лам-рим» Цонкапы т. I, с.366 — 368."
‘phags pa,,
bag med,,
bar do,,
bar do ba,,
bdag med,,
bdag nyid,,
bde [ba],,
blo,,
brtson ‘grus,,
bsgom pa,,
byang [chub] sems [dpa'],,
chos,"Учение буддизма, Дхарма",
chos mngon,,
chos nyid,дхармата; Высшая Реальность,"сущность реальности, совершенно чистая природа всех вещей"
dad pa,вера,"Гамбопа говорит о трех типах веры («Украшение Освобождения», конец гл. 2), Цонкапа о четырех («Лам-рим», т. 1, с. 358)"
de nyid,,
dge ba,,
dran pa,памятование,"непрерывное удержание в памяти, осознавание, внимательность. Это один из пяти определяющих ментальных факторов, предотвращающих «забвение» объекта медитации (см. Бдительность, Самоконтроль)"
gang zag,,
gnyis [su] med [pa],,
gti mug,,
klu,,
kun slong,,
las,карма; действие; обязанность; деятельность,"закон причины и следствия, согласно которому мы переживаем мир в соответствии с впечатлениями, закладываемыми нами в ум телесно, вербально и умственно"
lta ba,,
ma rig pa,,
mi rtag pa,,
mngon sum ,,
mngon sum gyis shes pa,,
nga rgyal,,
phyag rgya,,
rang sangs rgyas,,
rdo rje,,
rig pa,,
rten [cing] ‘brel [bar ‘byung ba],,
sdig pa,,
sems,сознание; ум,"Термином «ум» или «сознание» (в качестве синонимов) обозначается фактически вся совокупность психики, психических проявлений. Живое существо — это единство тела и психики (т.: семс.чан). Динамическая природа психики выражается термином ргйуд, ранг.ргйуд или ргйун (с.: сантана),т.е. «поток», «континуум», «поток сознания» (точнее, «поток бытия, пяти скандх»)"
sgrib pa,,
smon lam,,
snang,,
spyod pa,,
sred pa,,
thar pa,освобождение,"освобождение от самсары, от неотъемлемо присущего ей страдания, обусловленного кармой и клешами"
ye shes,,
yon tan,,
zhe sdang,,
zhi ba,,
