wylie,base_term,sanskrit_rus,sanskrit_eng,wikipedia
‘byor ba,,,sampad,
‘khor ba,,сансара; самсара,samsara,
‘phags pa,,,arya,
bag med,,прамада,pramada,
bar do,,антарабхава,antarabhava,
bar do ba,,,,
bdag med,,анатма,anatma,
bdag nyid,,атман,atman,https://ru.wikipedia.org/wiki/Атман
bde [ba],,,sukha,
blo,,,buddhi,
brtson ‘grus,,вирья,virya,
bsgom pa,,бхавана,bhavana,
byang [chub] sems [dpa'],,бодхисаттва,bodhisattva,
chos,,дхамма; дхарма,Dharma,https://ru.wikipedia.org/wiki/Дхарма
chos mngon,,Абхидхарма,abhidharma,https://ru.wikipedia.org/wiki/Абхидхарма
chos nyid,,дхармата,dharmata,
dad pa,,шраддха,sraddha,
de nyid,,таттва,tathata,
dge ba,,,subha; kusala; bhadra,
dran pa,,смрити,smrti,
gang zag,,пудгала,pudgala,
gnyis [su] med [pa],,,,
gti mug,,моха,moha,
klu,,нага,naga,
kun slong,,,samutthana,
las,,карма,karma,
lta ba,,,drsti,
ma rig pa,,авидья,avidya,https://ru.wikipedia.org/wiki/Авидья
mi rtag pa,,,anityata,
mngon sum ,,,pratyaksa,
mngon sum gyis shes pa,,,,
nga rgyal,,мана,mana,
phyag rgya,,мудра,mudra,
rang sangs rgyas,,пратьекабудда,pratyekabuddha,
rdo rje,,ваджра,vajra,
rig pa,,видья,vidya,
rten [cing] ‘brel [bar ‘byung ba],,,pratityasamutpada,
sdig pa,,,papa,
sems,,читта,citta,
sgrib pa,,аварана,avarana,
smon lam,,,,
snang,,,,
spyod pa,,,carya,
sred pa,,,trsna,
thar pa,,мокша,moksa,
ye shes,,джняна,jnana,
yon tan,,,guna,
zhe sdang,,,dvesa,
zhi ba,,,santi,
